통신판매번호,신고기관명,상호,사업자등록번호,법인여부,대표자명,전화번호,전자우편,신고일자,사업장소재지,사업장소재지(도로명),업소상태,신고기관 대표연락처,판매방식,취급품목,인터넷도메인,호스트서버소재지
2025-서울성북-0430,서울특별시 성북구,주식회사 에이치디건설,434-81-02078,법인,이동호,'010-8070-8843,hdgs1223@naver.com,20250403,서울특별시 성북구 종암동 3-116 엘리시움 101호내1  ,서울특별시 성북구 월곡로 56 (종암동^ 엘리시움),정상영업,02-2241-3966,인터넷,종합몰,쿠팡,null
2025-서울성북-0431,서울특별시 성북구,주식회사 이스트컨쿠어,560-87-03460,법인,정병찬,'010-8060-0121,jbchan2025@gmail.com,20250403,서울특별시 성북구 정릉동 192-120 동방뉴타운빌 비동 401호  ,서울특별시 성북구 서경로 41-19^ 비동 4층 401호 (정릉동^ 동방뉴타운빌),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,https://smartstore.naver.com/yeastkonquer,null
2025-서울성북-0427,서울특별시 성북구,주식회사 리얼에이아이,201-86-48334,법인,전하빈,'010-3259-4412,webcampus@naver.com,20250402,서울특별시 성북구 돈암동 632 풍림아파트 101동 301호  ,서울특별시 성북구 북악산로 913^ 101동 3층 301호 (돈암동^ 풍림아파트),정상영업,02-2241-3966,인터넷 기타,컴퓨터/사무용품 건강/식품,쿠팡,null
2025-서울성북-0428,서울특별시 성북구,주식회사 고려유통,435-81-02464,법인,최재기,'010-9957-3211,daeppang55@naver.com,20250402,서울특별시 성북구 돈암동 30-22 4^5층  ,서울특별시 성북구 동소문로35길 42^ 4^5층 (돈암동),정상영업,02-2241-3966,인터넷,교육/도서/완구/오락,https://www.kodae.co.kr/,서울특별시 구로구 디지털로31길 62^ 아티스포럼 1301~1303호 (구로동)
2025-서울성북-0376,서울특별시 성북구,에스엔엔터프라이즈 주식회사,431-81-03438,법인,전재영,'010 - 8809 - 3131,jjy.sne@gmail.com,20250324,서울특별시 성북구 성북동1가 35-40  ,서울특별시 성북구 창경궁로43길 12 (성북동1가),정상영업,02-2241-3966,인터넷,종합몰 의류/패션/잡화/뷰티 기타,쿠팡,null
2025-서울성북-0353,서울특별시 성북구,(주)씨드코스메틱,750-88-03473,법인,이예원,'010 - 9148 - 0336,yourdining@naver.com,20250319,서울특별시 성북구 동소문동4가 260 드림트리빌딩  ,서울특별시 성북구 동소문로 63^ 드림트리빌딩 6층 2호 (동소문동4가),정상영업,02-2241-3966,인터넷,교육/도서/완구/오락,www.koreaaiceo.com,null
2025-서울성북-0343,서울특별시 성북구,주식회사 참메디플러스,280-86-03359,법인,김지연,'010 - 5668 - 2933,monica92@hanmail.net,20250314,서울특별시 성북구 장위동 203-4  ,서울특별시 성북구 장월로 146^ 2층 (장위동),정상영업,02-2241-3966,인터넷,기타,네이버쇼핑,null
2025-서울성북-0334,서울특별시 성북구,주식회사 바이제니안,116-81-97906,법인,안상희,'010 - 2698 - 9589,pink9589@naver.com,20250313,서울특별시 성북구 하월곡동 64-2 진양빌딩  ,서울특별시 성북구 화랑로 57^ 진양빌딩 101호 (하월곡동),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,www.krzts.com,null
2025-서울성북-0332,서울특별시 성북구,주식회사 헤이스트,840-86-03447,법인,이병래^안시현,'010 - 4012 - 8800,soaoo1004@gmail.com,20250313,서울특별시 성북구 보문동7가 42  ,서울특별시 성북구 보문로13가길 7-4^ 1층 101호 (보문동7가),정상영업,02-2241-3966,인터넷,종합몰 의류/패션/잡화/뷰티,https://heyste.co.kr/,null
2025-서울성북-0306,서울특별시 성북구,주식회사 윤파머스,522-88-03432,법인,윤성완,'010 - 9101 - 7611,younfarmers@naver.com,20250310,서울특별시 성북구 장위동 317 꿈의숲대명루첸아파트  ,서울특별시 성북구 월계로36길 27^ 101동 1805호 (장위동^ 꿈의숲대명루첸아파트),정상영업,02-2241-3966,인터넷,건강/식품,http://www.younfarmers.com,null
2025-서울성북-0282,서울특별시 성북구,주식회사 디깅코퍼레이션(Digging Corporation),240-81-03550,법인,전성훈,'010 - 3953 - 4997,pingcam2@naver.com,20250227,서울특별시 성북구 동선동1가 48 백옥빌딩  ,서울특별시 성북구 보문로34길 39^ 백옥빌딩 6층 (동선동1가),정상영업,02-2241-3966,인터넷 기타,건강/식품,www.teenfit.co.kr,null
2025-서울성북-0257,서울특별시 성북구,수수무스포츠 (주),209-81-34237,법인,박길웅,'02 - 909 - 1733,amoud@hanmail.net,20250221,서울특별시 성북구 정릉동 266-92 정릉예림교회  ,서울특별시 성북구 보국문로16가길 7 (정릉동),정상영업,02-2241-3966,인터넷,종합몰 교육/도서/완구/오락 의류/패션/잡화/뷰티,www.susumu.co.kr,null
2025-서울성북-0254,서울특별시 성북구,주식회사 바이오클릭(BioClick Corp.),238-87-03694,법인,김연희,'010 - 3904 - 8757,yeunhee7209@hanmail.net,20250220,서울특별시 성북구 정릉동 260-16 삼성그린빌라  ,서울특별시 성북구 보국문로20길 50^ 503호 (정릉동^ 삼성그린빌라),정상영업,02-2241-3966,인터넷,종합몰,쿠팡 마켓플레이스,null
2025-서울성북-0251,서울특별시 성북구,에이치바이오텍,229-88-03116,법인,신수철,'010 - 5245 - 3575,bestssin@hanmail.net,20250219,서울특별시 성북구 하월곡동 90-1494  ,서울특별시 성북구 종암로36나길 13^ 2층 202호 (하월곡동),정상영업,02-2241-3966,기타,기타,쿠팡,null
2025-서울성북-0214,서울특별시 성북구,토탈디포주식회사,209-81-51236,법인,이서구,'02 - 943 - 5503,totaldepot2018@naver.com,20250211,서울특별시 성북구 하월곡동 81-356  ,서울특별시 성북구 월계로 30 (하월곡동),정상영업,02-2241-3966,인터넷,자동차/자동차용품,쿠팡 마켓플레이스,null
2025-서울성북-0206,서울특별시 성북구,익사이팅리퍼블릭,209-85-25624,법인,한민식,'010 - 5086 - 8850,qrlab@naver.com,20250210,서울특별시 성북구 안암동5가 104-290  ,서울특별시 성북구 안암로 73-5^ 1층 (안암동5가),정상영업,02-2241-3966,인터넷,기타,네이버예약,null
2025-서울성북-0208,서울특별시 성북구,주식회사 삼동알앤디 (SamDong Research and Design),899-86-03401,법인,홍순혁,'010-5177-8671,dongincamp@naver.com,20250210,서울특별시 성북구 보문동2가 130  ,서울특별시 성북구 보문로 107^ 7층 (보문동2가),정상영업,02-2241-3966,인터넷,건강/식품,쿠팡,null
2025-서울성북-0181,서울특별시 성북구,주식회사 유앤에이,854-86-01943,법인,정유나,'010-5568-4283,auber.team1@gmail.com,20250205,서울특별시 성북구 안암동4가 41-10 건양빌딩  ,서울특별시 성북구 안암로9길 13^ 건양빌딩 2층 (안암동4가),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,카페24,null
2025-서울성북-0188,서울특별시 성북구,주식회사 와이에이치푸드코리아 농업회사법인,847-87-00792,법인,신중현,'010 - 8232 - 8966,yhfoodk@naver.com,20250205,서울특별시 성북구 정릉동 916-1  ,서울특별시 성북구 정릉로10길 89^ 1층 2호 (정릉동),정상영업,02-2241-3966,인터넷,건강/식품,네이버스마트스토어,null
2025-서울성북-0102,서울특별시 성북구,주식회사 처음청약,648-86-02901,법인,장용,'010 - 8981 - 0731,31day@naver.com,20250114,서울특별시 성북구 보문동2가 105-3  ,서울특별시 성북구 보문로 125 (보문동2가),정상영업,02-2241-3966,인터넷,기타,www.apply1st.co.kr,null
2025-서울성북-0074,서울특별시 성북구,희나,143-88-03302,법인,박진호,'010 - 2828 - 4483,aboutjinho@gmail.com,20250109,서울특별시 성북구 성북동 133-41  ,서울특별시 성북구 성북로 65^ 2층 (성북동),정상영업,02-2241-3966,인터넷,건강/식품 의류/패션/잡화/뷰티,https://smartstore.naver.com/byyrnm,null
2025-서울성북-0056,서울특별시 성북구,주식회사 이레브,383-86-03298,법인,맹재훈,'010 - 8846 - 0152,jhmaeng@erev.im,20250107,서울특별시 성북구 정릉동 704-21  ,서울특별시 성북구 솔샘로12길 1^ 2층 (정릉동),정상영업,02-2241-3966,인터넷,종합몰 건강/식품 의류/패션/잡화/뷰티,카카오커머스,null
2025-서울성북-0268,서울특별시 성북구,주식회사 아나볼라이프(ANABOLIFE Inc.),467-81-03266,법인,최종훈,'010 - 4547 - 9563,jhchoe@anabolife.com,20250106,서울특별시 성북구 성북동 29-1 성북빌리지  ,서울특별시 성북구 선잠로 43^ 2동 지하1층 201-1호 (성북동^ 성북빌리지),정상영업,02-2241-3966,인터넷,건강/식품,http://www.anabolife.com,null
2025-서울성북-0015,서울특별시 성북구,원일비앤티 주식회사,149-88-03237,법인,정지인,'010 - 4512 - 7809,jeany97@naver.com,20250102,서울특별시 성북구 장위동 65-154 성북벤처창업지원센터  ,서울특별시 성북구 화랑로 211^ 성북벤처창업지원센터 B1층 (장위동),정상영업,02-2241-3966,기타 인터넷,건강/식품,네이버스마트스토어,null
